Area;2008-09;2010-11;2011-12;2012-13;2013-14;2014-15;2015-16;2016-17;2017-18;2018-19;2019-20
North East;39,5;52,7;53,9;61,3;59,5;59,1;57,4;59,4;60,2;60,4;58,4
North West;42,8;59,0;59,7;59,9;59,4;62,0;59,7;57,4;58,2;58,4;57,4
Yorkshire;40,4;56,8;59,5;61,5;58,7;59,3;55,;57,4;56,2;58,4;57,4
East Midlands;43,6;59,4;61,3;64,0;60,2;63,0;59,9;59,4;60,2;60,4;58,4
West Midlands;41,5;58,1;61,3;61,5;59,5;55,4;57,3;59,7;56,6;58,4;60,4
East;47,3;63,9;67,6;69,0;69,3;62,7;60,3;61,4;58,4;59,6;60,1
London;49,5;60,7;63,0;62,1;62,0;56,7;61,6;62,4;64,2;65,4;66,4
South East;50,4;67,9;68,2;68,5;65,9;68,6;64,1;65,4;66,2;64,4;67,4
South West;47,9;64,7;68,0;67,1;68,0;65,1;69,4;68,4;67,2;67,4;69,4
England;45,5;61,2;63,3;64,1;62,8;61,6;61,2;59,4;60,2;60,4;58,4